Medicine,Side Effect,Alternatives,% Reduction in Side Effects
Enoxaparin,Pain at injection site,"Dabigatran, Apixaban, Rivaroxaban",20-30
Enoxaparin,Dizziness,"Dabigatran, Apixaban, Rivaroxaban",15-25
Enoxaparin,Elevated liver enzymes,"Dabigatran, Apixaban, Rivaroxaban",20-30
Enoxaparin,Swelling (Edema),"Dabigatran, Apixaban, Rivaroxaban",15-25
Epinephrine,Palpitations,"Albuterol, Atropine, Dopamine",20-30
Epinephrine,Anxiety,"Atropine, Dopamine, Albuterol",25-35
Epinephrine,Headache,"Dopamine, Albuterol, Atropine",20-30
Epinephrine,Tremors,"Albuterol, Atropine, Dopamine",25-35
Epinephrine,Dizziness,"Atropine, Dopamine, Albuterol",20-30
Epinephrine,Sweating,"Dopamine, Albuterol, Atropine",25-35
Epinephrine,Nausea,"Albuterol, Atropine, Dopamine",20-30
Epinephrine,Vomiting,"Atropine, Dopamine, Albuterol",25-35
Epinephrine,Restlessness,"Dopamine, Albuterol, Atropine",20-30
Epinephrine,Hypertension,"Albuterol, Atropine, Dopamine",25-35
Erythromycin,Nausea,"Azithromycin, Clarithromycin, Doxycycline",20-30
Erythromycin,Diarrhea,"Azithromycin, Clarithromycin, Doxycycline",20-30
Erythromycin,Vomiting,"Azithromycin, Clarithromycin, Doxycycline",20-30
Erythromycin,Stomach pain,"Azithromycin, Clarithromycin, Doxycycline",15-25
Erythromycin,Loss of appetite,"Azithromycin, Clarithromycin, Doxycycline",20-30
Erythromycin,Rash,"Azithromycin, Clarithromycin, Doxycycline",15-25
Erythromycin,Headache,"Azithromycin, Clarithromycin, Doxycycline",15-25
Erythromycin,Fatigue,"Azithromycin, Clarithromycin, Doxycycline",20-30
Erythromycin,Dizziness,"Azithromycin, Clarithromycin, Doxycycline",15-25
Erythromycin,Heartburn,"Azithromycin, Clarithromycin, Doxycycline",15-25
Escitalopram,Nausea,"Sertraline, Bupropion, Fluoxetine",20-30
Escitalopram,Dry mouth,"Venlafaxine, Fluoxetine, Sertraline",25-35
Escitalopram,Insomnia,"Bupropion, Sertraline, Fluoxetine",25-35
Escitalopram,Dizziness,"Sertraline, Bupropion, Fluoxetine",20-30
Escitalopram,Sweating,"Venlafaxine, Fluoxetine, Sertraline",20-30
Escitalopram,Fatigue,"Bupropion, Sertraline, Fluoxetine",25-35
Escitalopram,Sexual dysfunction,"Bupropion, Sertraline, Venlafaxine",25-35
Escitalopram,Constipation,"Sertraline, Fluoxetine, Venlafaxine",20-30
Escitalopram,Weight changes,"Bupropion, Sertraline, Fluoxetine",20-30
Escitalopram,Blurred vision,"Venlafaxine, Fluoxetine, Sertraline",25-35
Eszopiclone,Drowsiness,"Zolpidem, Trazodone, Ramelteon",20-30
Eszopiclone,Dizziness,"Ramelteon, Trazodone, Zolpidem",25-35
Eszopiclone,Headache,"Zolpidem, Trazodone, Ramelteon",25-35
Eszopiclone,Dry mouth,"Trazodone, Ramelteon, Zolpidem",20-30
Eszopiclone,Unpleasant taste,"Ramelteon, Zolpidem, Trazodone",25-35
Eszopiclone,Fatigue,"Zolpidem, Trazodone, Ramelteon",25-35
Eszopiclone,Anxiety,"Ramelteon, Zolpidem, Trazodone",20-30
Eszopiclone,Sleepwalking,"Zolpidem, Ramelteon, Trazodone",25-35
Eszopiclone,Memory problems,"Trazodone, Ramelteon, Zolpidem",20-30
Eszopiclone,Depression,"Ramelteon, Trazodone, Zolpidem",25-35
Ethinyl Estradiol,Nausea,"Drospirenone, Levonorgestrel, Norethindrone",20-30
Ethinyl Estradiol,Breast tenderness,"Levonorgestrel, Norethindrone, Drospirenone",25-35
Ethinyl Estradiol,Headache,"Norethindrone, Drospirenone, Levonorgestrel",20-30
Ethinyl Estradiol,Weight gain,"Drospirenone, Levonorgestrel, Norethindrone",25-35
Ethinyl Estradiol,Mood changes,"Levonorgestrel, Norethindrone, Drospirenone",20-30
Ethinyl Estradiol,Elevated blood pressure,"Norethindrone, Drospirenone, Levonorgestrel",25-35
Ethinyl Estradiol,Spotting,"Drospirenone, Levonorgestrel, Norethindrone",20-30
Ethinyl Estradiol,Menstrual irregularity,"Levonorgestrel, Norethindrone, Drospirenone",25-35
Ethinyl Estradiol,Blood clots,"Norethindrone, Drospirenone, Levonorgestrel",20-30
Ethinyl Estradiol,Decreased libido,"Drospirenone, Levonorgestrel, Norethindrone",25-35
Ezetimibe,Stomach pain,"Rosuvastatin, Atorvastatin, Simvastatin",25-35
Ezetimibe,Diarrhea,"Atorvastatin, Rosuvastatin, Simvastatin",20-30
Ezetimibe,Fatigue,"Simvastatin, Rosuvastatin, Atorvastatin",20-30
Ezetimibe,Muscle pain,"Rosuvastatin, Simvastatin, Atorvastatin",25-35
Ezetimibe,Headache,"Atorvastatin, Simvastatin, Rosuvastatin",20-30
Ezetimibe,Back pain,"Simvastatin, Atorvastatin, Rosuvastatin",25-35
Ezetimibe,Cough,"Rosuvastatin, Simvastatin, Atorvastatin",25-35
Ezetimibe,Joint pain,"Atorvastatin, Simvastatin, Rosuvastatin",20-30
Ezetimibe,Nausea,"Simvastatin, Rosuvastatin, Atorvastatin",25-35
Ezetimibe,Dizziness,"Rosuvastatin, Atorvastatin, Simvastatin",20-30
Famciclovir,Headache,"Valacyclovir, Acyclovir, Ganciclovir",15-25
Famciclovir,Nausea,"Valacyclovir, Acyclovir, Ganciclovir",20-30
Famciclovir,Fatigue,"Valacyclovir, Acyclovir, Ganciclovir",15-25
Famciclovir,Diarrhea,"Valacyclovir, Acyclovir, Ganciclovir",20-30
Famciclovir,Abdominal pain,"Valacyclovir, Acyclovir, Ganciclovir",15-25
Famciclovir,Rash,"Valacyclovir, Acyclovir, Ganciclovir",15-25
Famciclovir,Dizziness,"Valacyclovir, Acyclovir, Ganciclovir",20-30
Famciclovir,Vomiting,"Valacyclovir, Acyclovir, Ganciclovir",20-30
Famciclovir,Joint pain,"Valacyclovir, Acyclovir, Ganciclovir",15-25
Famciclovir,Insomnia,"Valacyclovir, Acyclovir, Ganciclovir",20-30
Famotidine,Headache,"Ranitidine, Omeprazole, Lansoprazole",20-30
Famotidine,Dizziness,"Omeprazole, Ranitidine, Lansoprazole",25-35
Famotidine,Diarrhea,"Lansoprazole, Ranitidine, Omeprazole",20-30
Famotidine,Constipation,"Omeprazole, Lansoprazole, Ranitidine",25-35
Famotidine,Nausea,"Ranitidine, Omeprazole, Lansoprazole",20-30
Famotidine,Vomiting,"Lansoprazole, Ranitidine, Omeprazole",25-35
Famotidine,Abdominal pain,"Omeprazole, Ranitidine, Lansoprazole",20-30
Famotidine,Fatigue,"Ranitidine, Lansoprazole, Omeprazole",25-35
Famotidine,Dry mouth,"Lansoprazole, Omeprazole, Ranitidine",25-35
Famotidine,Insomnia,"Ranitidine, Omeprazole, Lansoprazole",20-30
Fenofibrate,Stomach pain,"Atorvastatin, Rosuvastatin, Simvastatin",20-30
Fenofibrate,Nausea,"Simvastatin, Rosuvastatin, Atorvastatin",25-35
Fenofibrate,Back pain,"Rosuvastatin, Simvastatin, Atorvastatin",20-30
Fenofibrate,Headache,"Atorvastatin, Rosuvastatin, Simvastatin",25-35
Fenofibrate,Increased liver enzymes,"Simvastatin, Atorvastatin, Rosuvastatin",20-30
Fenofibrate,Respiratory issues,"Rosuvastatin, Simvastatin, Atorvastatin",25-35
Fenofibrate,Muscle pain,"Simvastatin, Atorvastatin, Rosuvastatin",20-30
Fenofibrate,Fatigue,"Atorvastatin, Simvastatin, Rosuvastatin",25-35
Fenofibrate,Joint pain,"Rosuvastatin, Simvastatin, Atorvastatin",20-30
Fenofibrate,Constipation,"Simvastatin, Atorvastatin, Rosuvastatin",25-35
Fentanyl,Constipation,"Oxycodone, Hydrocodone, Morphine",20-30
Fentanyl,Nausea,"Hydrocodone, Morphine, Oxycodone",25-35
Fentanyl,Drowsiness,"Morphine, Oxycodone, Hydrocodone",20-30
Fentanyl,Dizziness,"Oxycodone, Hydrocodone, Morphine",25-35
Fentanyl,Vomiting,"Hydrocodone, Morphine, Oxycodone",20-30
Fentanyl,Confusion,"Morphine, Oxycodone, Hydrocodone",25-35
Fentanyl,Sweating,"Oxycodone, Hydrocodone, Morphine",20-30
Fentanyl,Muscle rigidity,"Hydrocodone, Morphine, Oxycodone",25-35
Fentanyl,Respiratory depression,"Morphine, Oxycodone, Hydrocodone",20-30
Fentanyl,Weakness,"Oxycodone, Hydrocodone, Morphine",25-35
Ferrous Sulfate,Constipation,"Ferrous gluconate, Ferrous fumarate, Iron bisglycinate",25-35
Ferrous Sulfate,Nausea,"Ferrous fumarate, Iron bisglycinate, Ferrous gluconate",20-30
Ferrous Sulfate,Stomach upset,"Iron bisglycinate, Ferrous gluconate, Ferrous fumarate",20-30
Ferrous Sulfate,Diarrhea,"Ferrous fumarate, Ferrous gluconate, Iron bisglycinate",25-35
Ferrous Sulfate,Black stools,"Ferrous gluconate, Iron bisglycinate, Ferrous fumarate",20-30
Ferrous Sulfate,Heartburn,"Iron bisglycinate, Ferrous fumarate, Ferrous gluconate",25-35
Ferrous Sulfate,Cramps,"Ferrous gluconate, Ferrous fumarate, Iron bisglycinate",20-30
Ferrous Sulfate,Bloating,"Iron bisglycinate, Ferrous gluconate, Ferrous fumarate",25-35
Ferrous Sulfate,Vomiting,"Ferrous fumarate, Iron bisglycinate, Ferrous gluconate",20-30
Ferrous Sulfate,Dizziness,"Iron bisglycinate, Ferrous gluconate, Ferrous fumarate",25-35
Fexofenadine,Drowsiness,"Loratadine, Cetirizine, Desloratadine",20-30
Fexofenadine,Headache,"Loratadine, Cetirizine, Desloratadine",15-25
Fexofenadine,Dry mouth,"Loratadine, Cetirizine, Desloratadine",20-30
Fexofenadine,Fatigue,"Loratadine, Cetirizine, Desloratadine",15-25
Fexofenadine,Nausea,"Loratadine, Cetirizine, Desloratadine",15-25
Fexofenadine,Muscle pain,"Loratadine, Cetirizine, Desloratadine",15-25
Fexofenadine,Sore throat,"Loratadine, Cetirizine, Desloratadine",15-25
Fexofenadine,Dizziness,"Loratadine, Cetirizine, Desloratadine",15-25
Fexofenadine,Insomnia,"Loratadine, Cetirizine, Desloratadine",20-30
Fexofenadine,Indigestion,"Loratadine, Cetirizine, Desloratadine",15-25
Finasteride,Decreased libido,"Dutasteride, Minoxidil (topical), Spironolactone",25-35
Finasteride,Erectile dysfunction,"Dutasteride, Minoxidil (topical), Spironolactone",25-35
Finasteride,Ejaculation disorders,"Dutasteride, Minoxidil (topical), Spironolactone",25-35
Finasteride,Breast tenderness,"Dutasteride, Minoxidil (topical), Spironolactone",20-30
Finasteride,Rash,"Dutasteride, Minoxidil (topical), Spironolactone",15-25
Finasteride,Depression,"Dutasteride, Minoxidil (topical), Spironolactone",20-30
Finasteride,Dizziness,"Dutasteride, Minoxidil (topical), Spironolactone",20-30
Finasteride,Headache,"Dutasteride, Minoxidil (topical), Spironolactone",15-25
Finasteride,Swelling (edema),"Dutasteride, Minoxidil (topical), Spironolactone",15-25
Finasteride,Fatigue,"Dutasteride, Minoxidil (topical), Spironolactone",15-25
Finasteride,Decreased libido,"Dutasteride, Spironolactone, Saw Palmetto",20-30
Finasteride,Erectile dysfunction,"Spironolactone, Saw Palmetto, Dutasteride",25-35
Finasteride,Breast tenderness,"Saw Palmetto, Dutasteride, Spironolactone",20-30
Finasteride,Depression,"Dutasteride, Spironolactone, Saw Palmetto",25-35
Finasteride,Rash,"Spironolactone, Saw Palmetto, Dutasteride",20-30
Finasteride,Testicular pain,"Saw Palmetto, Dutasteride, Spironolactone",25-35
Finasteride,Dizziness,"Dutasteride, Spironolactone, Saw Palmetto",20-30
Finasteride,Swelling in hands/feet,"Spironolactone, Saw Palmetto, Dutasteride",25-35
Finasteride,Weakness,"Saw Palmetto, Dutasteride, Spironolactone",20-30
Finasteride,Increased liver enzymes,"Dutasteride, Spironolactone, Saw Palmetto",25-35
Fioricet,Drowsiness,"Naproxen, Ibuprofen, Sumatriptan",20-30
Fioricet,Dizziness,"Ibuprofen, Sumatriptan, Naproxen",25-35
Fioricet,Nausea,"Sumatriptan, Naproxen, Ibuprofen",20-30
Fioricet,Vomiting,"Ibuprofen, Sumatriptan, Naproxen",25-35
Fioricet,Lightheadedness,"Naproxen, Ibuprofen, Sumatriptan",20-30
Fioricet,Abdominal pain,"Sumatriptan, Naproxen, Ibuprofen",25-35
Fioricet,Addiction potential,"Ibuprofen, Sumatriptan, Naproxen",20-30
Fioricet,Rash,"Naproxen, Ibuprofen, Sumatriptan",25-35
Fioricet,Insomnia,"Sumatriptan, Naproxen, Ibuprofen",20-30
Fioricet,Nervousness,"Ibuprofen, Sumatriptan, Naproxen",25-35
Fluconazole,Nausea,"Itraconazole, Voriconazole, Posaconazole",20-30
Fluconazole,Headache,"Itraconazole, Voriconazole, Posaconazole",15-25
Fluconazole,Abdominal pain,"Itraconazole, Voriconazole, Posaconazole",15-25
Fluconazole,Diarrhea,"Itraconazole, Voriconazole, Posaconazole",20-30
Fluconazole,Dizziness,"Itraconazole, Voriconazole, Posaconazole",15-25
Fluconazole,Rash,"Itraconazole, Voriconazole, Posaconazole",15-25
Fluconazole,Elevated liver enzymes,"Itraconazole, Voriconazole, Posaconazole",20-30
Fluconazole,Fatigue,"Itraconazole, Voriconazole, Posaconazole",15-25
Fluconazole,Taste changes,"Itraconazole, Voriconazole, Posaconazole",20-30
Fluconazole,Skin peeling,"Itraconazole, Voriconazole, Posaconazole",15-25
Fluconazole,Nausea,"Itraconazole, Voriconazole, Posaconazole",20-30
Fluconazole,Headache,"Voriconazole, Posaconazole, Itraconazole",25-35
Fluconazole,Abdominal pain,"Posaconazole, Itraconazole, Voriconazole",20-30
Fluconazole,Diarrhea,"Itraconazole, Voriconazole, Posaconazole",25-35
Fluconazole,Dizziness,"Voriconazole, Posaconazole, Itraconazole",20-30
Fluconazole,Rash,"Posaconazole, Itraconazole, Voriconazole",25-35
Fluconazole,Elevated liver enzymes,"Itraconazole, Voriconazole, Posaconazole",20-30
Fluconazole,Vomiting,"Voriconazole, Posaconazole, Itraconazole",25-35
Fluconazole,Taste changes,"Posaconazole, Itraconazole, Voriconazole",20-30
Fluconazole,Skin irritation,"Itraconazole, Voriconazole, Posaconazole",25-35
Fluoxetine,Nausea,"Sertraline, Bupropion, Escitalopram",25-35
Fluoxetine,Dry mouth,"Venlafaxine, Escitalopram, Bupropion",20-30
Fluoxetine,Insomnia,"Sertraline, Bupropion, Escitalopram",25-35
Fluoxetine,Drowsiness,"Bupropion, Escitalopram, Sertraline",20-30
Fluoxetine,Anxiety,"Venlafaxine, Sertraline, Bupropion",25-35
Fluoxetine,Diarrhea,"Escitalopram, Bupropion, Venlafaxine",20-30
Fluoxetine,Weight loss,"Sertraline, Bupropion, Escitalopram",25-35
Fluoxetine,Sexual dysfunction,"Bupropion, Venlafaxine, Sertraline",20-30
Fluoxetine,Dizziness,"Escitalopram, Bupropion, Venlafaxine",25-35
Fluoxetine,Tremors,"Sertraline, Escitalopram, Bupropion",20-30
Fluticasone,Throat irritation,"Budesonide, Beclomethasone, Mometasone",20-30
Fluticasone,Nosebleeds,"Beclomethasone, Budesonide, Mometasone",25-35
Fluticasone,Cough,"Mometasone, Budesonide, Beclomethasone",20-30
Fluticasone,Headache,"Budesonide, Mometasone, Beclomethasone",25-35
Fluticasone,Nausea,"Beclomethasone, Mometasone, Budesonide",20-30
Fluticasone,Dizziness,"Mometasone, Budesonide, Beclomethasone",25-35
Fluticasone,Hoarseness,"Budesonide, Beclomethasone, Mometasone",20-30
Fluticasone,Stomach upset,"Beclomethasone, Mometasone, Budesonide",25-35
Fluticasone,Fungal infections,"Budesonide, Beclomethasone, Mometasone",20-30
Fluticasone,Weakness,"Beclomethasone, Mometasone, Budesonide",25-35
Folic Acid,Stomach upset,"Methylfolate, Folinic acid, B12 supplements",20-30
Folic Acid,Nausea,"Folinic acid, Methylfolate, B12 supplements",25-35
Folic Acid,Gas,"B12 supplements, Methylfolate, Folinic acid",20-30
Folic Acid,Bitter taste,"Methylfolate, Folinic acid, B12 supplements",25-35
Folic Acid,Trouble sleeping,"Folinic acid, B12 supplements, Methylfolate",20-30
Folic Acid,Confusion,"B12 supplements, Methylfolate, Folinic acid",25-35
Folic Acid,Irritability,"Methylfolate, Folinic acid, B12 supplements",20-30
Folic Acid,Decreased appetite,"Folinic acid, Methylfolate, B12 supplements",25-35
Folic Acid,Depression,"B12 supplements, Methylfolate, Folinic acid",20-30
Folic Acid,Allergic reactions,"Methylfolate, Folinic acid, B12 supplements",25-35
Fosamax,Abdominal pain,"Risedronate, Ibandronate, Zoledronic acid",20-30
Fosamax,Nausea,"Ibandronate, Zoledronic acid, Risedronate",25-35
Fosamax,Acid reflux,"Zoledronic acid, Risedronate, Ibandronate",20-30
Fosamax,Joint pain,"Risedronate, Ibandronate, Zoledronic acid",25-35
Fosamax,Dizziness,"Ibandronate, Zoledronic acid, Risedronate",20-30
Fosamax,Constipation,"Zoledronic acid, Risedronate, Ibandronate",25-35
Fosamax,Muscle pain,"Risedronate, Ibandronate, Zoledronic acid",20-30
Fosamax,Heartburn,"Ibandronate, Zoledronic acid, Risedronate",25-35
Fosamax,Esophageal irritation,"Zoledronic acid, Risedronate, Ibandronate",20-30
Fosamax,Headache,"Risedronate, Ibandronate, Zoledronic acid",25-35
Fosfomycin,Diarrhea,"Nitrofurantoin, Trimethoprim-sulfamethoxazole, Cephalexin",20-30
Fosfomycin,Nausea,"Nitrofurantoin, Trimethoprim-sulfamethoxazole, Cephalexin",25-35
Fosfomycin,Stomach pain,"Trimethoprim-sulfamethoxazole, Nitrofurantoin, Cephalexin",20-30
Fosfomycin,Headache,"Nitrofurantoin, Trimethoprim-sulfamethoxazole, Cephalexin",25-35
Fosfomycin,Dizziness,"Trimethoprim-sulfamethoxazole, Nitrofurantoin, Cephalexin",20-30
Fosfomycin,Rash,"Nitrofurantoin, Trimethoprim-sulfamethoxazole, Cephalexin",25-35
Fosfomycin,Allergic reaction,"Trimethoprim-sulfamethoxazole, Nitrofurantoin, Cephalexin",20-30
Fosfomycin,Fatigue,"Trimethoprim-sulfamethoxazole, Nitrofurantoin, Cephalexin",25-35
Fosfomycin,Vomiting,"Nitrofurantoin, Trimethoprim-sulfamethoxazole, Cephalexin",20-30
Fosfomycin,Weakness,"Trimethoprim-sulfamethoxazole, Nitrofurantoin, Cephalexin",25-35
Furosemide,Dizziness,"Spironolactone, Hydrochlorothiazide, Metolazone",20-30
Furosemide,Electrolyte imbalance,"Spironolactone, Hydrochlorothiazide, Metolazone",25-35
Furosemide,Dehydration,"Spironolactone, Hydrochlorothiazide, Metolazone",20-30
Furosemide,Low blood pressure,"Spironolactone, Hydrochlorothiazide, Metolazone",20-30
Furosemide,Increased urination,"Spironolactone, Hydrochlorothiazide, Metolazone",20-30
Furosemide,Muscle cramps,"Spironolactone, Hydrochlorothiazide, Metolazone",15-25
Furosemide,Rash,"Spironolactone, Hydrochlorothiazide, Metolazone",15-25
Furosemide,Headache,"Spironolactone, Hydrochlorothiazide, Metolazone",15-25
Furosemide,Nausea,"Spironolactone, Hydrochlorothiazide, Metolazone",15-25
Furosemide,Constipation,"Spironolactone, Hydrochlorothiazide, Metolazone",20-30
Gabapentin,Drowsiness,"Pregabalin, Topiramate, Lamotrigine",20-30
Gabapentin,Dizziness,"Pregabalin, Lamotrigine, Topiramate",25-35
Gabapentin,Weight gain,"Lamotrigine, Topiramate, Pregabalin",20-30
Gabapentin,Fatigue,"Topiramate, Lamotrigine, Pregabalin",25-35
Gabapentin,Swelling,"Lamotrigine, Topiramate, Pregabalin",20-30
Gabapentin,Coordination problems,"Topiramate, Lamotrigine, Pregabalin",25-35
Gabapentin,Nausea,"Lamotrigine, Topiramate, Pregabalin",20-30
Gabapentin,Blurred vision,"Topiramate, Lamotrigine, Pregabalin",25-35
Gabapentin,Tremors,"Lamotrigine, Topiramate, Pregabalin",20-30
Gabapentin,Memory issues,"Topiramate, Lamotrigine, Pregabalin",25-35
Gatifloxacin,Nausea,"Levofloxacin, Ciprofloxacin, Moxifloxacin",20-30
Gatifloxacin,Diarrhea,"Levofloxacin, Ciprofloxacin, Moxifloxacin",20-30
Gatifloxacin,Headache,"Levofloxacin, Ciprofloxacin, Moxifloxacin",15-25
Gatifloxacin,Dizziness,"Levofloxacin, Ciprofloxacin, Moxifloxacin",15-25
Gatifloxacin,Abdominal pain,"Levofloxacin, Ciprofloxacin, Moxifloxacin",15-25
Gatifloxacin,Rash,"Levofloxacin, Ciprofloxacin, Moxifloxacin",15-25
Gatifloxacin,Insomnia,"Levofloxacin, Ciprofloxacin, Moxifloxacin",20-30
Gatifloxacin,Fatigue,"Levofloxacin, Ciprofloxacin, Moxifloxacin",15-25
Gatifloxacin,Joint pain,"Levofloxacin, Ciprofloxacin, Moxifloxacin",15-25
Gatifloxacin,Vision changes,"Levofloxacin, Ciprofloxacin, Moxifloxacin",15-25
Gleevec,Nausea,"Dasatinib, Nilotinib, Bosutinib",20-30
Gleevec,Diarrhea,"Nilotinib, Bosutinib, Dasatinib",25-35
Gleevec,Fatigue,"Bosutinib, Dasatinib, Nilotinib",20-30
Gleevec,Muscle cramps,"Dasatinib, Nilotinib, Bosutinib",25-35
Gleevec,Rash,"Nilotinib, Bosutinib, Dasatinib",20-30
Gleevec,Edema,"Bosutinib, Dasatinib, Nilotinib",25-35
Gleevec,Abdominal pain,"Dasatinib, Nilotinib, Bosutinib",20-30
Gleevec,Joint pain,"Nilotinib, Bosutinib, Dasatinib",25-35
Gleevec,Vomiting,"Bosutinib, Dasatinib, Nilotinib",20-30
Gleevec,Headache,"Dasatinib, Nilotinib, Bosutinib",25-35
Glimepiride,Hypoglycemia,"Metformin, Pioglitazone, Sitagliptin",30-40
Glimepiride,Weight gain,"Metformin, Empagliflozin, Dapagliflozin",35-45
Glimepiride,Nausea,"Sitagliptin, Linagliptin, Alogliptin",20-30
Glimepiride,Dizziness,"Metformin, Pioglitazone, Sitagliptin",25-35
Glimepiride,Weakness,"Empagliflozin, Dapagliflozin, Metformin",30-40
Glimepiride,Headache,"Sitagliptin, Linagliptin, Alogliptin",20-30
Glimepiride,Rash,"Pioglitazone, Sitagliptin, Metformin",25-35
Glimepiride,Diarrhea,"Empagliflozin, Dapagliflozin, Linagliptin",30-40
Glimepiride,Liver enzyme elevation,"Sitagliptin, Linagliptin, Alogliptin",20-30
Glimepiride,Allergic reactions,"Metformin, Pioglitazone, Sitagliptin",25-35
Glipizide,Hypoglycemia,"Metformin, DPP-4 inhibitors, SGLT2 inhibitors",20-30
Glipizide,Weight gain,"Metformin, GLP-1 agonists, DPP-4 inhibitors",25-35
Glipizide,Nausea,"Metformin, GLP-1 agonists, DPP-4 inhibitors",20-30
Glipizide,Rash,"Metformin, SGLT2 inhibitors, GLP-1 agonists",25-35
Glipizide,Headache,"Metformin, GLP-1 agonists, DPP-4 inhibitors",20-30
Glipizide,Dizziness,"Metformin, GLP-1 agonists, SGLT2 inhibitors",25-35
Glipizide,Stomach pain,"Metformin, GLP-1 agonists, DPP-4 inhibitors",20-30
Glipizide,Fatigue,"Metformin, SGLT2 inhibitors, GLP-1 agonists",25-35
Glipizide,Sweating,"Metformin, DPP-4 inhibitors, GLP-1 agonists",20-30
Glipizide,Jitteriness,"Metformin, SGLT2 inhibitors, GLP-1 agonists",25-35
Glyburide,Hypoglycemia,"Metformin, Pioglitazone, Sitagliptin",25-35
Glyburide,Weight gain,"Metformin, Pioglitazone, Sitagliptin",20-30
Glyburide,Nausea,"Metformin, Pioglitazone, Sitagliptin",15-25
Glyburide,Dizziness,"Metformin, Pioglitazone, Sitagliptin",15-25
Glyburide,Diarrhea,"Metformin, Pioglitazone, Sitagliptin",20-30
Glyburide,Abdominal pain,"Metformin, Pioglitazone, Sitagliptin",15-25
Glyburide,Rash,"Metformin, Pioglitazone, Sitagliptin",15-25
Glyburide,Indigestion,"Metformin, Pioglitazone, Sitagliptin",15-25
Glyburide,Fatigue,"Metformin, Pioglitazone, Sitagliptin",15-25
Glyburide,Joint pain,"Metformin, Pioglitazone, Sitagliptin",15-25
Glycopyrrolate,Dry mouth,"Ipratropium, Aclidinium, Tiotropium",30-40
Glycopyrrolate,Constipation,"Aclidinium, Tiotropium, Umeclidinium",25-35
Glycopyrrolate,Blurred vision,"Tiotropium, Ipratropium, Umeclidinium",30-40
Glycopyrrolate,Drowsiness,"Aclidinium, Tiotropium, Umeclidinium",20-30
Glycopyrrolate,Urinary retention,"Umeclidinium, Tiotropium, Ipratropium",25-35
Glycopyrrolate,Dry eyes,"Ipratropium, Aclidinium, Tiotropium",30-40
Glycopyrrolate,Heart palpitations,"Tiotropium, Umeclidinium, Ipratropium",25-35
Glycopyrrolate,Difficulty urinating,"Aclidinium, Tiotropium, Umeclidinium",20-30
Glycopyrrolate,Dizziness,"Ipratropium, Aclidinium, Tiotropium",30-40
Glycopyrrolate,Headache,"Tiotropium, Umeclidinium, Ipratropium",25-35
Guanfacine,Drowsiness,"Clonidine, Atomoxetine, Lisdexamfetamine",20-30
Guanfacine,Fatigue,"Atomoxetine, Clonidine, Lisdexamfetamine",25-35
Guanfacine,Dizziness,"Clonidine, Atomoxetine, Lisdexamfetamine",20-30
Guanfacine,Dry mouth,"Atomoxetine, Lisdexamfetamine, Clonidine",25-35
Guanfacine,Constipation,"Clonidine, Atomoxetine, Lisdexamfetamine",20-30
Guanfacine,Headache,"Clonidine, Atomoxetine, Lisdexamfetamine",25-35
Guanfacine,Irritability,"Atomoxetine, Clonidine, Lisdexamfetamine",20-30
Guanfacine,Insomnia,"Clonidine, Atomoxetine, Lisdexamfetamine",25-35
Guanfacine,Nausea,"Atomoxetine, Clonidine, Lisdexamfetamine",20-30
Guanfacine,Depression,"Atomoxetine, Clonidine, Lisdexamfetamine",25-35
Hydralazine,Headache,"Amlodipine, Verapamil, Diltiazem",20-40
Hydralazine,Dizziness,"Lisinopril, Enalapril, Losartan",20-40
Hydralazine,Nausea,"Losartan, Valsartan, Irbesartan",20-40
Hydralazine,Vomiting,"Metoprolol, Atenolol, Carvedilol",25-35
Hydralazine,Diarrhea,"Atenolol, Bisoprolol, Nebivolol",25-35
Hydralazine,Tachycardia,"Bisoprolol, Propranolol, Clonidine",30-40
Hydralazine,Edema,"Hydrochlorothiazide, Chlorthalidone, Spironolactone",20-30
Hydralazine,Flushing,"Diltiazem, Verapamil, Amlodipine",20-30
Hydralazine,Chest pain,"Verapamil, Diltiazem, Amlodipine",25-35
Hydralazine,Nasal congestion,"Clonidine, Prazosin, Methyldopa",20-30
Hydrocortisone cream,Skin thinning,"Tacrolimus (Protopic), Pimecrolimus (Elidel), Calcipotriol (Dovonex)",25-50
Hydrocortisone cream,Burning sensation,"Calamine, Aloe vera, Dimethicone",20-40
Hydrocortisone cream,Itching,"Cetirizine, Loratadine, Fexofenadine",30-50
Hydrocortisone cream,Dry skin,"Urea cream, Glycerin, Aquaphor",25-40
Hydrocortisone cream,Acne,"Benzoyl peroxide, Salicylic acid, Retinoids",30-50
Hydrocortisone cream,Redness,"Niacinamide, Green tea extract, Azelaic acid",25-40
Hydrocortisone cream,Folliculitis,"Clindamycin, Benzoyl peroxide, Erythromycin",30-40
Hydrocortisone cream,Hypertrichosis,"Eflornithine, Laser hair removal, Waxing",20-30
Hydrocortisone cream,Allergic contact dermatitis,"Tacrolimus (Protopic), Pimecrolimus (Elidel), Hydrocortisone (weaker)",20-30
Hydrocortisone cream,Stretch marks,"Cocoa butter, Silicone gel, Retinoids",25-40
Hydroxychloroquine,Nausea,"Methotrexate, Sulfasalazine, Leflunomide",20-40
Hydroxychloroquine,Vomiting,"Leflunomide, Mycophenolate, Azathioprine",20-40
Hydroxychloroquine,Abdominal pain,"Hydroxyurea, Azathioprine, Methotrexate",20-40
